,userId,avg_error,RS,fwls_feature16,fwls_feature24,fwls_feature_4,fwls_feature_6
1,1,0.336642260869565,BiasedMatrixFactorization,0.352060912977977,0.213322371360655,4.64439089914137,4.65396035015752
2,1,0.315300753623188,FactorWiseMatrixFactorization,0.352060912977977,0.213322371360655,4.64439089914137,4.65396035015752
3,1,0.357953710144927,BiPolarSlopeOne,0.352060912977977,0.213322371360655,4.64439089914137,4.65396035015752
4,1,0.322749739130435,MatrixFactorization,0.352060912977977,0.213322371360655,4.64439089914137,4.65396035015752
5,1,0.418000130434783,TimeAwareBaseline,0.352060912977977,0.213322371360655,4.64439089914137,4.65396035015752
6,1,1.21014492753623,Constant5,0.352060912977977,0.213322371360655,4.64439089914137,4.65396035015752
7,1,0.436870956521739,SlopeOne,0.352060912977977,0.213322371360655,4.64439089914137,4.65396035015752
8,1,0.415571449275362,TimeAwareBaselineWithFrequencies,0.352060912977977,0.213322371360655,4.64439089914137,4.65396035015752
9,1,0.373544463768116,GlobalAverage,0.352060912977977,0.213322371360655,4.64439089914137,4.65396035015752
10,1,0.437096710144928,ItemAverage,0.352060912977977,0.213322371360655,4.64439089914137,4.65396035015752
11,1,0.374348710144928,CoClustering,0.352060912977977,0.213322371360655,4.64439089914137,4.65396035015752
12,1,0.377347724637681,LatentFeatureLogLinearModel,0.352060912977977,0.213322371360655,4.64439089914137,4.65396035015752
13,1,0.425791652173913,UserItemBaseline,0.352060912977977,0.213322371360655,4.64439089914137,4.65396035015752
14,1,1.36412116956522,Random,0.352060912977977,0.213322371360655,4.64439089914137,4.65396035015752
15,1,0.341593115942029,SigmoidSVDPlusPlus,0.352060912977977,0.213322371360655,4.64439089914137,4.65396035015752
16,1,0.349482376811594,UserAverage,0.352060912977977,0.213322371360655,4.64439089914137,4.65396035015752
17,1,2.78985507246377,Constant,0.352060912977977,0.213322371360655,4.64439089914137,4.65396035015752
18,2,0.700206916666667,TimeAwareBaselineWithFrequencies,1.04045167237103,0.202461876364041,2.56494935746154,3.58351893845611
19,2,0.597714583333333,MatrixFactorization,1.04045167237103,0.202461876364041,2.56494935746154,3.58351893845611
20,2,1.95252719166667,Random,1.04045167237103,0.202461876364041,2.56494935746154,3.58351893845611
21,2,0.692205125,BiPolarSlopeOne,1.04045167237103,0.202461876364041,2.56494935746154,3.58351893845611
22,2,1.03331733333333,GlobalAverage,1.04045167237103,0.202461876364041,2.56494935746154,3.58351893845611
23,2,0.737976666666667,TimeAwareBaseline,1.04045167237103,0.202461876364041,2.56494935746154,3.58351893845611
24,2,0.663227291666667,SlopeOne,1.04045167237103,0.202461876364041,2.56494935746154,3.58351893845611
25,2,0.714624375,LatentFeatureLogLinearModel,1.04045167237103,0.202461876364041,2.56494935746154,3.58351893845611
26,2,0.703243958333333,UserItemBaseline,1.04045167237103,0.202461876364041,2.56494935746154,3.58351893845611
27,2,0.679883375,CoClustering,1.04045167237103,0.202461876364041,2.56494935746154,3.58351893845611
28,2,0.57843375,FactorWiseMatrixFactorization,1.04045167237103,0.202461876364041,2.56494935746154,3.58351893845611
29,2,0.618617791666667,BiasedMatrixFactorization,1.04045167237103,0.202461876364041,2.56494935746154,3.58351893845611
30,2,0.88888875,UserAverage,1.04045167237103,0.202461876364041,2.56494935746154,3.58351893845611
31,2,0.842137791666666,ItemAverage,1.04045167237103,0.202461876364041,2.56494935746154,3.58351893845611
32,2,2.875,Constant,1.04045167237103,0.202461876364041,2.56494935746154,3.58351893845611
33,2,0.768869458333333,SigmoidSVDPlusPlus,1.04045167237103,0.202461876364041,2.56494935746154,3.58351893845611
34,2,1.125,Constant5,1.04045167237103,0.202461876364041,2.56494935746154,3.58351893845611
35,3,0.599154783783784,TimeAwareBaselineWithFrequencies,0.921465734088414,0.223232605315365,4.15888308335967,4.71849887129509
36,3,0.793215648648649,ItemAverage,0.921465734088414,0.223232605315365,4.15888308335967,4.71849887129509
37,3,0.579967337837838,SlopeOne,0.921465734088414,0.223232605315365,4.15888308335967,4.71849887129509
38,3,0.594009864864865,LatentFeatureLogLinearModel,0.921465734088414,0.223232605315365,4.15888308335967,4.71849887129509
39,3,0.594218081081081,UserItemBaseline,0.921465734088414,0.223232605315365,4.15888308335967,4.71849887129509
40,3,0.605777351351351,BiPolarSlopeOne,0.921465734088414,0.223232605315365,4.15888308335967,4.71849887129509
41,3,0.60721627027027,CoClustering,0.921465734088414,0.223232605315365,4.15888308335967,4.71849887129509
42,3,0.583645121621622,FactorWiseMatrixFactorization,0.921465734088414,0.223232605315365,4.15888308335967,4.71849887129509
43,3,0.587053108108108,BiasedMatrixFactorization,0.921465734088414,0.223232605315365,4.15888308335967,4.71849887129509
44,3,0.944566054054054,GlobalAverage,0.921465734088414,0.223232605315365,4.15888308335967,4.71849887129509
45,3,0.618066148648649,SigmoidSVDPlusPlus,0.921465734088414,0.223232605315365,4.15888308335967,4.71849887129509
46,3,3.12162162162162,Constant,0.921465734088414,0.223232605315365,4.15888308335967,4.71849887129509
47,3,0.878378378378378,Constant5,0.921465734088414,0.223232605315365,4.15888308335967,4.71849887129509
48,3,0.59180577027027,MatrixFactorization,0.921465734088414,0.223232605315365,4.15888308335967,4.71849887129509
49,3,0.689189189189189,UserAverage,0.921465734088414,0.223232605315365,4.15888308335967,4.71849887129509
50,3,1.73661889459459,Random,0.921465734088414,0.223232605315365,4.15888308335967,4.71849887129509
51,3,0.620472702702703,TimeAwareBaseline,0.921465734088414,0.223232605315365,4.15888308335967,4.71849887129509
